From,To,Similarity
Kjøreassistentsystem: frontkollisjonsvarsling,Kjørecomputer,0.108
Kjøreassistentsystem: blindsoneassistent,Kjørecomputer,0.101
- ELEKTRISK INNKLAPPING AV SPEIL,Elektriske speil,0.561
- ELEKTRISK KORSRYGGSTØTTE I BEGGE SETENE FORAN,Elektriske speil,0.331
Kjøreassistentsystem: avstandsvarsling,Kjørecomputer,0.116
Kjøreassistentsystem: Lane Keeping Assist,Kjørecomputer,0.113
Kjøreassistentsystem: Kollisjonsvarslingssystem,Kjørecomputer,0.1
Heated front and rear seats,,0.0
Height-adjustable driver's seat,Startsperre,0.042
High Beam Assist,,0.0
Hekkspoiler,,0.0
JKH   Closed glove box (cooled when AC) with light,,0.0
HAF   AIR CONDITIONING,Airbag foran,0.117
GXY   IMMOBILIZER SYSTEM,,0.0
"GXC   Central locking with radio frequency (Front doors, sliding d",Radio FM,0.254
GAC   TINTED GLASS WINDOWS,Vinterhjul,0.113
CTL   BASE DOOR TRIM PANEL,Elektriske speil,0.058
CKA   CARPETS FLOOR AND CARGO AREA,,0.0
BNB   ELECTRONIC STABILITY CONTROL,Sentrallås,0.048
Blindsoneassistanse,El.vinduer,0.055
980   STEEL SPARE WHEEL,,0.0
Lyspakke kampanje,,0.0
Auto Light Control,Sentrallås,0.088
Battery Heating System,Multifunksjonsratt,0.055
Infinity Høytalere,,0.0
8TW   WEST EUROPEAN MAP,,0.0
Lane Keep assist system,,0.0
Seat Belt Reminder,ABS-Bremser,0.079
8LC   Lock system on the left rear door,,0.0
Virtual Engine Sound System,,0.0
JPY   FRONT ELECTRIC WINDOWS,Elektriske speil,0.098
LMK   DAYTIME RUNNING LAMPS - HEADLAMPS,Servostyring,0.015
SCR   SELECTIVE CATALYST REDUCER,Elektriske speil,0.038
Metallic-lakk,Sentrallås,0.096
Trunk entry guard,Sentrallås,0.139
Trunk lower finisher Premium,Multifunksjonsratt,0.052
- Webasto fjernstyrt,Servostyring,0.147
- Takbøyler,,0.0
cut with blue strip + lockable wheel nuts,Bluetooth,0.165
- Mørker ruter,Kjørecomputer,0.143
e-Pedal (with regenerative function),Multifunksjonsratt,0.082
2 Nøkler,,0.0
Føreradvarsel,Radio FM,0.165
WDK   STEEL WHEELS,,0.0
- El speil,Elektriske speil,0.53
Skyvedører begge sider m/vindu,El.vinduer,0.182
Topphengslet luke bak m/vindu,El.vinduer,0.174
- 2 skyvedører,,0.0
Open R-Link med Google Assistent,Sentrallås,0.047
El.just. av førerset m/minne,Antispinn,0.058
F1-girhendler ved ratt,Multifunksjonsratt,0.081
El-innfellbare speil,Elektriske speil,0.221
"8L7   Additional anchorage rings mid height, (VAN without sliding",Servostyring,0.05
Comfort Plus,Kjørecomputer,0.113
8L5   Side panel (fixed) (3rd row) Unglazed (both sides),Isofix,0.096
- El. sete med minnefunksjon,Multifunksjonsratt,0.357
Klima automat,Klimaanlegg,0.37
502   PASSENGER AIRBAG MODULE,Airbag foran,0.404
500   DRIVER AIR BAG MODULE,Airbag foran,0.229
- Adaptiv Cruise Control,Sentrallås,0.068
- Android Auto,,0.0
- Apple CarPlay,,0.0
- DAB+ Radio,Radio FM,0.828
- El. innfellbare speil,Elektriske speil,0.239
- Helårshjul på alufelg,Vinterhjul,0.18
Beats Audio,Radio FM,0.21
- Infinity Stereo,Vinterhjul,0.037
- Justerbar regenerering,Airbag foran,0.095
- Keyless,,0.0
- Oppvarmede seter,Oppvarmede seter,1.0
- Park. sensorer foran/bak,Airbag foran,0.206
- Teknikkpakke,,0.0
- Trådløs lading for mobil,Radio FM,0.156
- Ventilerte seter,Oppvarmede seter,0.166
519   REAR WING DOORS,Servostyring,0.03
520   SIDE SLIDING DOORS,Servostyring,0.025
8L4   Side panel / Side sliding door (2nd row) Unglazed (both side,Bluetooth,0.059
8KV   Manual Transmission (MT),Sentrallås,0.065
HINDRINGSDETEKTOR FORAN BAK,Airbag foran,0.166
KJØRELYS FORAN (DRL),Airbag foran,0.25
MED SCR-SYSTEM,Oppvarmede seter,0.057
SVÆRT KALT KLIMA,Klimaanlegg,0.275
VARMEAPPARATKRETS MED AVGASSOPPVARMING,Oppvarmede seter,0.366
12 MND GARANTI,Antispinn,0.234
INKL LADEBØTTE,,0.0
R LINK APP,,0.0
2 skyvedør,,0.0
5CA   PASTEL PAINT 1,Vinterhjul,0.074
3 Seter,Oppvarmede seter,0.416
Peugeot i-Cockpit,,0.0
automat,,0.0
852   ENGLISH LANGUAGE HANDBOOK,,0.0
823   CURRENT SOCKET,Startsperre,0.129
7EU   PARTITION 2,Startsperre,0.064
6XN   SPECIAL WHEEL HUB CAPS 2,Elektriske speil,0.049
5DE   STOP&amp;START,Startsperre,0.183
Traffic Jam Pilot,Sentrallås,0.077
ALU S- V DEKK,,0.0
SAFETY SENSE,Sentrallås,0.102
Multifunctional leather-wrapped heated steering wheel,Multifunksjonsratt,0.241
Lane departure assist,Startsperre,0.057
Leaf SL Modell,,0.0
Leather &amp; Cloth Breathable Seats,Bluetooth,0.073
520 - tåkelys,,0.0
507 - parkeringssensor bak,Sentrallås,0.08
Load allowed on the load carrier.,Sentrallås,0.06
4v9 - mini excitement package,Sentrallås,0.047
Mudguards Front &amp; rear White Pearl,,0.0
4ep - interior surface hazy grey,Vinterhjul,0.115
544 - cruise control m/bremsefunksjon,Multifunksjonsratt,0.253
470 - isofix,Isofix,0.803
450 - høydejusterbart passasjersete,Oppvarmede seter,0.104
PS1 Sportsitze vorne,Startsperre,0.067
"382 - tak og speilhus, hvit",Elektriske speil,0.203
"2f3 - 16"" loop spoke",,0.0
255 - sportsratt i skinn,Multifunksjonsratt,0.211
Harman Kardon surround HIFI,Oppvarmede seter,0.052
"20"" felger sommer",Lettmet. felg sommer,0.6
LED signature tail lights,,0.0
LED signature daytime running lights,Servostyring,0.017
Utvendig styling,Servostyring,0.109
Intelligent Auto headlights with follow-me-home functionality and automatic hazard lights,Vinterhjul,0.049
Highway autopilot,,0.0
Home AC Charger,,0.0
ISOFIX child seat anchorage points (rear),Isofix,0.422
Iconic Tech,,0.0
Illuminated charging port,Servostyring,0.021
Integrated navigation,Vinterhjul,0.118
Intelligent Around View Monitor,Vinterhjul,0.098
Intelligent Auto LED Headlights with LED fog lights,Vinterhjul,0.073
Intelligent Emergency Braking with Pedestrian Recognition,Kjørecomputer,0.117
5aa - tåkelys bak,,0.0
Intelligent Lane Intervention,Vinterhjul,0.226
Cruisecontrol - fartsholder,Startsperre,0.11
7y1 - pepper,Startsperre,0.089
6nd - bluetooth,Bluetooth,0.841
Intelligent Lane Keep Assist,Vinterhjul,0.113
Intelligent Trace Control,Sentrallås,0.194
Intelligent key system and engine start button,Startsperre,0.146
LED Interior Light Kit (including bulbs in the cabin),Vinterhjul,0.1
"19"" felger vinter",Lettmet. felg vinter,0.524
El. 6-veis sete for fører,Oppvarmede seter,0.125
Top-rated EURONCAP safety score,Multifunksjonsratt,0.033
Ledkjørelys,Kjørecomputer,0.2
ProPILOT [3]   ProPILOT Park,,0.0
Rear Mount Carrier and TEK 13 Pins,Antispinn,0.124
Rear sensor with touchscreen,Sentrallås,0.065
Remote audio control,Radio FM,0.176
Reversible trunk liner,Multifunksjonsratt,0.058
Shark Antenna,Antispinn,0.098
Smart Adaptive Air Suspension,Startsperre,0.102
Smart interior mirror,Vinterhjul,0.167
Start push button,Startsperre,0.201
Premium Obsidian Black Metallic (PMBL) paint,Lettmet. felg vinter,0.081
TFT full-color combimeter screen,Lettmet. felg vinter,0.069
TRIM3 W/TRUNK LID TRIM,Elektriske speil,0.098
Technology Package,,0.0
SMART KEY,Startsperre,0.098
Teknna Trim Grade,Radio FM,0.146
Telescopic steering wheel,Servostyring,0.055
Thatcham alarm system,Oppvarmede seter,0.054
Top connectivity,,0.0
ProPILOT Assist,,0.0
Pearlescent paint,Vinterhjul,0.054
USB-Audio Interface,Vinterhjul,0.145
Bluetooth Musikkstreaming,Bluetooth,0.604
Navigation with NissanConnect Services,Servostyring,0.096
Sentrallås med fjenkontroll,Sentrallås,0.655
Klimaanlegg 3-soners,Klimaanlegg,0.781
Klappbare speil,Elektriske speil,0.234
HDMI inngang,Antispinn,0.059
Elektronisk Startsperre,Startsperre,0.757
"Nissan Tekna 17"" Alloy Wheels",Sentrallås,0.074
Bluetooth Telefoni,Bluetooth,0.761
Parksensor foran/bak,Airbag foran,0.2
One Pedal Driving,Vinterhjul,0.089
El.sete med minne,Oppvarmede seter,0.227
Bluetooth tilkobling media/handsfree,Bluetooth,0.486
Automatiske viskere,Elektriske speil,0.307
EU TIL OKTOBER 2025,,0.0
AKUSTISK FOTGJENGERBESKYTTELSE,Antiskrens,0.096
USB/AUX inngang,Antispinn,0.057
Ledlys foran,Airbag foran,0.312
Nissan i-Key,,0.0
Webasto dieselvarmer med fjernkontroll,Oppvarmede seter,0.165
AndoidAuto,,0.0
064BV Headlight power wash,,0.0
"""selvstyring""",Servostyring,0.353
meridian lydanlegg,Klimaanlegg,0.329
panoramaglasstak,Airbag foran,0.069
regn-og lyssensor,Sentrallås,0.077
tonede bakruter,Oppvarmede seter,0.144
varme i bakseter,Oppvarmede seter,0.481
varme og kjøling i seter foran,Oppvarmede seter,0.384
4*4,,0.0
2WA uten spesifikke dekk,Kjørecomputer,0.062
2JZ Standard støtfanger,Startsperre,0.049
1PA Hjulbolter standard,Vinterhjul,0.204
1L0 Standard luftfilter,Startsperre,0.047
Krell stereoanlegg,Klimaanlegg,0.328
Intellilux LED MATRIX Adaptiv,Vinterhjul,0.101
PANORAMA,Airbag foran,0.109
All around view (4 kamera),Sentrallås,0.092
Elektrisk sete med minnefunksjon på førerside,Elektriske speil,0.361
Hendler for regenereringsnivå på rattet,Multifunksjonsratt,0.071
8 Veis Elektrisk justerbar førerstol,Elektriske speil,0.403
- DEFA motorvarmer,Oppvarmede seter,0.198
matrix led hovedlykter,Elektriske speil,0.056
luftfjæring,Servostyring,0.077
keyless nøkkelfri bil,,0.0
mini usb,,0.0
B&amp;O stereo,Vinterhjul,0.044
Bluetooth tlf og streaming,Bluetooth,0.712
ST-Line,,0.0
Tilhengerfeste -elektrisk innfellbart,Elektriske speil,0.337
adaptive cruise,,0.0
bak og på sidene -i tillegg til ryggekamera,Klimaanlegg,0.129
carplay,,0.0
lanekeeper,Startsperre,0.077
parkassistent,Sentrallås,0.073
elektriske seter med minnefunksjoner,Elektriske speil,0.458
parksensorer foran,Airbag foran,0.219
to sone digital autoklima,Klimaanlegg,0.225
varme i ratt!,Oppvarmede seter,0.381
Optikkpakke 1,,0.0
4N0 Standard dashbord (Leather trimmed minor gauges + Ipod,Sommerhjul,0.046
18-veis windsor skinnseter,Oppvarmede seter,0.112
dab,,0.0
el bakluke,,0.0
Dab Adapter,Vinterhjul,0.05
Selges som delebil,Lettmet. felg sommer,0.172
Ikke EU-godkjent,Sentrallås,0.053
0TD Gulvmatter foran og bak,Airbag foran,0.195
0B5 Akselavstand,Startsperre,0.051
0IC Monteringsdifferensiering for,Antiskrens,0.111
0K3 Hybriddriftsystem PHEV,,0.0
0M5 Drivstoffbeholder,,0.0
0NB Emblemsett i grunnutførelse,ABS-Bremser,0.123
0P0 Enderør bak (standard),Startsperre,0.189
0RF Med elektrisk rattstammelås,Elektriske speil,0.366
0SB Klebemerker/skilter på tysk,Sommerhjul,0.043
0YH Vektområde 8,Elektriske speil,0.071
(virtuell pedal),,0.0
1 year,,0.0
1A5 bensininnsprøytning,Antiskrens,0.046
1AE BRS for biler med elektromotor,Elektriske speil,0.228
"1D4 Svingbart tilhengerfeste, manuelt",Vinterhjul,0.053
1E1 Activated carbon canister,Vinterhjul,0.026
1JL Demping bak,Antispinn,0.164
"1N3 Servostyring, hastighetsavhengig",Servostyring,0.541
1NM Deksler for lettmetallfelger,Lettmet. felg vinter,0.483
designo magno Alanite grå,,0.0
(versjon 1),Multifunksjonsratt,0.149
Ekstra LED ryggelys,Sentrallås,0.086
S300 Emergency Spare Wheel,Sommerhjul,0.052
S8S8 Country-Specific Navigation Control,Sentrallås,0.075
S843 Power Reduction,,0.0
S524 Adaptive Headlights,,0.0
S464 Ski Bag,Airbag foran,0.138
S441 Smoker Package,,0.0
S438 Fine Wood Trim,Elektriske speil,0.058
LED BAR,,0.0
S386 Roof Railing,Servostyring,0.025
S2BS BMW LA Wheel/Double Spoke 247 Flat-Runn.,,0.0
(variant 2),Antispinn,0.128
( fast ),,0.0
(ESP og eBKV),,0.0
(EU),,0.0
(ISOFIX),Isofix,1.0
(PreCrash Basic og Front),Kjørecomputer,0.102
(Servotronic),Servostyring,0.316
(med follow-to-stop) og hastighetsbegrenser,Servostyring,0.114
(spes. utformet kjørelyssignatur),Kjørecomputer,0.127
12 v strøm uttak,,0.0
Koppeholder,Oppvarmede seter,0.084
1S3 verktøy,,0.0
"6"" alu.felger sommer",Lettmet. felg sommer,0.497
Girskiftindikator,El.vinduer,0.048
18-toms originale hjul,Vinterhjul,0.172
3D-cockpit,,0.0
18-veis elektriske konturseter med memoryfunksjon,Elektriske speil,0.332
"20"" sorte alu.felger med piggfrie vinterdekk",Lettmet. felg vinter,0.245
360-graders Area View omgivelseskamera,Radio FM,0.09
Assistentpakke Tour,Sentrallås,0.061
Beige Valcona-skinninteriør,Vinterhjul,0.117
Sort glanspakke,,0.0
108 K8G VWGROUP KAR Hatchback,,0.0
- 2 nøkkel,,0.0
- 2 sett hjul,Vinterhjul,0.414
- 2-soners klima,Klimaanlegg,0.319
- Cruicekontroll,Sentrallås,0.062
107 J0S VWGROUP BAT Battery 320 A (59 Ah),Multifunksjonsratt,0.037
- Delskinn,Antispinn,0.092
- Elektrisk bakluke,Elektriske speil,0.528
- Hatthylle,Multifunksjonsratt,0.048
- Isofix,Isofix,1.0
With Park Side Flank Guard,,0.0
Voice Activated Controls,Sentrallås,0.052
Tyre TPMS Warning Light Spec,Servostyring,0.092
Navigation Region Data,,0.0
116 PH1 VWGROUP Air conditioning system,Airbag foran,0.085
115 PD5 VWGROUP dash pad in dark silver metallic,Sentrallås,0.06
Nav Data - Reg 1 - Europe,,0.0
114 PCD VWGROUP drive pack,,0.0
"113 N4E VWGROUP SIB Fabric seat coverings ""Dots"", welt of seat squabs and front backrests in",ABS-Bremser,0.061
112 L0L VWGROUP LEA Left-hand drive,,0.0
"111 L07 VWGROUP GKV Suspension range 07 installation control only, no requirement forecast",Sentrallås,0.095
110 KN2 VWGROUP BLE Chrome bezels for rotary light switch and air conditioning controls,Airbag foran,0.077
11 0VS VWGROUP BTA Information kit in Norwegian,Airbag foran,0.03
Tyre Pressure Sensors,Sentrallås,0.08
Navigeringssystem,Servostyring,0.071
Oppvarmede fører-/passasjerseter,Oppvarmede seter,0.632
SE 400PS Auto 90kWh,,0.0
109 KE0 VWGROUP SID Without fuse box,,0.0
Solar Attenuating Windscreen,El.vinduer,0.042
Suspension Types Standardoppheng,Startsperre,0.079
Trunk Badge-SE,Multifunksjonsratt,0.065
Type Of Audio Broadcast Digital Audio Broadcast,Radio FM,0.129
- Nedfellbare bakseter,Oppvarmede seter,0.126
106 IA0 VWGROUP HAT Without bracket,,0.0
- Parksensorer bak,Sentrallås,0.093
ISOFIX innfesting av barneseter,Isofix,0.515
DØDVINKEL VARSLER,Vinterhjul,0.076
FISKIFTEVARSLER,Antiskrens,0.053
FULL PAKKE BIL,,0.0
10 0TA VWGROUP ZFM Without floor mats,,0.0
KJØLING I FORSETER,Oppvarmede seter,0.171
KRELL STEREO,Antiskrens,0.182
SAFETY SENSE SYSTEM,Sentrallås,0.091
VARME OG KJØLING I SETER,Oppvarmede seter,0.425
Automatisk nødbremseassistent,ABS-Bremser,0.28
100 DG0 VWGROUP MOT 3-cylinder SI engine 1.0 l/44 kW port fuel injection base engine is TH4,El.vinduer,0.028
BlueLink,Bluetooth,0.303
E-Call - Nødanrop,Sentrallås,0.093
El-soltak,,0.0
Filholder (lane assist),,0.0
"1 0A2 VWGROUP TUE 4 doors, hinged rear side windows",El.vinduer,0.041
Krell lydanlegg,Klimaanlegg,0.378
LAV Kilometer,Lettmet. felg vinter,0.123
FM-Radio,Radio FM,0.572
APPLE CAR PLAY,,0.0
AD-CRUISE,,0.0
- Parksensorer foran,Airbag foran,0.219
04M5 Individual leather-covered dashboard,El.vinduer,0.034
- Rattvarme,Oppvarmede seter,0.24
- Setevarme foran,Oppvarmede seter,0.393
105 H9Y VWGROUP REI Tires 185/55 R15,,0.0
104 G0C VWGROUP GSP 5-speed manual transmission,Sentrallås,0.048
Canton Lyd.,Antispinn,0.111
Digital Cockpit.,,0.0
"01TC 20"" light-al.whl. star spoke 740M em.op.",Startsperre,0.085
04KM Trims aluminium mesh effect dark,Elektriske speil,0.039
A080 80 Ah AGM battery,Multifunksjonsratt,0.05
Tilt og teleskopratt,Multifunksjonsratt,0.091
103 G03 VWGROUP DFV Shock absorption in front,ABS-Bremser,0.082
102 FC0 VWGROUP IND Without customized installation,Sentrallås,0.052
360' kamera,Sommerhjul,0.098
El. førersete m. minne,Oppvarmede seter,0.148
El. justerbart sete(r),Oppvarmede seter,0.221
101 E0A VWGROUP AAU No special edition,Elektriske speil,0.044
Kollisjonsvarsler med autobrems,ABS-Bremser,0.17
Setevarmer bak,Oppvarmede seter,0.408
1PF Hjulbolter standard,Vinterhjul,0.202
Varmekomfortpakke,Oppvarmede seter,0.185
2-delt bakdør med vindu,El.vinduer,0.226
9IJ Komforttelefoni med LTE og,Elektriske speil,0.045
910 DYNAMO WITH HIGHER CAPACITY (FFO),,0.0
807 YEAR OF MODIFICATION,,0.0
ES3 Ladekontakt AC type 2 mode 2-3,,0.0
Electric interface for external use -- Audio Gateway,Vinterhjul,0.117
"741A FABRIC, AVANTGARDE - BLACK / ANTHRACITE",Antispinn,0.093
FB0 Standard lakkering,Servostyring,0.068
FM5 Variant Hybrid,Antispinn,0.074
G10 Støtdemping foran,Airbag foran,0.176
G1A 6-trinns automatgirkasse,Elektriske speil,0.046
"GM4 Utvendig lyd, lydboks uten deaktivering",Servostyring,0.041
GP1 Kjøretøy med spesielle,Kjørecomputer,0.156
"740A FABRIC, AVANTGARDE",Antispinn,0.062
Grunnmotor er: TH8,,0.0
H1U Dekk 235/45 R18 94W,,0.0
"732 WOOD VERSION,BIRD'S EYE MAPLE BLACK/ANTHRACITE",Antispinn,0.042
IG1 Egenvektsområde 1,Sommerhjul,0.081
K8D Variant/Avant,Antispinn,0.139
KH7 Climatronic ( 3-soners ) med,Klimaanlegg,0.138
KK3 Kjølemiddel R1234yf,,0.0
"ER1 Regionskode "" ECE "" for radio",Radio FM,0.359
EM1 Tretthetsvarsling,Lettmet. felg vinter,0.071
926 EXHAUST GAS CLEANING WITH EURO 4 TECHNOLOGY,Servostyring,0.015
985 COC PAPER EURO 4 TECHNOLOGY W. REG. CERT. PART II,Startsperre,0.089
"9P5 Beltekontroll, opt.o.akust., e-kontakt",Sentrallås,0.036
M646 R4-DIESEL ENGINE OM646,,0.0
9S0 Kjørecomputer,Kjørecomputer,0.872
9TB Ekstra varsellamper (dørområde),Startsperre,0.058
M010 EVO/VEHICLE UPGRADE ENGINES,Radio FM,0.093
"9VW Digital lydpakke med senterhøyttaler,",Vinterhjul,0.133
GERMANY,,0.0
F211 SERIES PRODUCTION 211,ABS-Bremser,0.042
9WJ Kabel &amp; trådløs App-Connect,,0.0
"EL5 Online-tjeneste, med OCU, med head unit",Oppvarmede seter,0.068
9Z3 230V vekselretter og stikkontakt,Lettmet. felg vinter,0.074
A8T Ekstra luksusutførelse,Sentrallås,0.054
AC Mode 3 type 2 16A,,0.0
AV1 høyrekjøring,Kjørecomputer,0.087
"B0P Komponentsett, motsvarer",Oppvarmede seter,0.077
Bilklassedifferensiering,Antiskrens,0.121
C55 Driftsgodkjenningssupplement,Sentrallås,0.034
EF1 ECO funksjon,Multifunksjonsratt,0.412
Karosseritiltak,ABS-Bremser,0.059
"Komponentsett, landsspesifikke",Kjørecomputer,0.062
682 FIRE EXTINGUISHER,Servostyring,0.019
UK3 Mekanisk opplåsing av baksete,Oppvarmede seter,0.137
Skvettla6N0,Lettmet. felg vinter,0.068
Systemer for biltilgang,Multifunksjonsratt,0.069
"TH8 4-syl. bensinmotor 1,4L aggr. 04E.C",Antiskrens,0.04
"TSI, hybrid",,0.0
U16 Aluminiumsfelger 8J x 18,Lettmet. felg vinter,0.131
"U5A Instrumentinnsats, visning i KM/H",Antispinn,0.109
"U9C Ekstern, USB type C datauttak",Vinterhjul,0.027
UH2 Håndbrems,ABS-Bremser,0.255
V0A Dekk uten spesifisering av dekkmerke,Servostyring,0.084
Rullegardin bakrute/sidevinduer,El.vinduer,0.322
"VF0 Pedaler ""Standard""",Startsperre,0.052
VL3 Fotgjengerbeskyttelsestiltak utvidede og,Oppvarmede seter,0.055
VW5 Side- og bakruter,Kjørecomputer,0.103
Vindusviskerintervallfunksjon/,Multifunksjonsratt,0.246
YOY Care Connect 1 year+Infotainment Online,Sentrallås,0.037
414 ELECTRIC TILT/SLIDE SUNROOF IN GLASS VERSION,Elektriske speil,0.071
aggr.0EC.B / 0EK.A,,0.0
"automatisk avblendbare, elektrisk",Elektriske speil,0.412
Seteventilasjon/massasjesete,Oppvarmede seter,0.132
QV3 Digital radiomottaker,Radio FM,0.344
L08 Fjæringsområde 08,Sommerhjul,0.095
500 OUTSIDE REAR VIEW MIRROR LH AND RH FOLDING,Servostyring,0.019
"MV3 4-sylindret bensinmotor 1,4 l / 115 KW",Antiskrens,0.044
N0Q setetrekk i skinn,Oppvarmede seter,0.105
ND1 Med adapter,Oppvarmede seter,0.095
NZ2 Pan-European-eCall,Sentrallås,0.063
619 CORNERING ILLUMINATION,Servostyring,0.053
"PK1 Tow bar, swiveling with adaptor",Servostyring,0.019
"543 SUN VISOR WITH MAKE-UP MIRROR L. AND R., BE-",Isofix,0.119
527 COMAND DVD APS WITH NAVIGATION,Kjørecomputer,0.065
PLC Small leather package (3-spoke heated,Sentrallås,0.06
QR9 Med trafikkskiltgjenkjenning,Sentrallås,0.049
"PT1 Comfort telephony + Wireless Charging,",Elektriske speil,0.068
Q2J komfortsete,Oppvarmede seter,0.111
423 5-SPEED AUTOMATIC TRANSMISSION,Sentrallås,0.059
QH1 Stemmestyring,Servostyring,0.328
QI4 Serviceintervallanviser 15 000 km eller 1 år,Servostyring,0.173
QJ3 Krom-pakke,Kjørecomputer,0.108
QK1 Med multifunksjonskamera,Multifunksjonsratt,0.606
QQ9 Ambientelys versjon 2,Multifunksjonsratt,0.076
9JA Ikkerøykerutførelse,,0.0
9HA Uten ekstra funksjonsfeilvisning,Multifunksjonsratt,0.259
1SA Uten ekstra drivverksbeskyttelse,Sentrallås,0.05
9E3 Bagasjeromsbelysning,Airbag foran,0.084
3ZU Trepunkts rullebelter på de ytre sitteplassene,Sentrallås,0.045
"4A4 Setevarme for for- og bakseter,",Oppvarmede seter,0.378
"4BL Avgasskonsept, EU6 AM",Multifunksjonsratt,0.04
4E6 Komfortåpning bakluke,Airbag foran,0.039
"4H5 Barnesikring, elektrisk betjening",Elektriske speil,0.325
ISOFIX barnesetefeste,Isofix,0.545
"Girkasse automatisk, 5-trinns",Antispinn,0.126
Cornering light,Servostyring,0.081
Comfort pakke,Kjørecomputer,0.115
Chromite black metallic,Sentrallås,0.079
4I3 Sentrallås  Keyless-Entry,Sentrallås,0.671
4L6 Innvendig sikkerhetsspeil,Elektriske speil,0.167
"4UP Kollisjonspute fører- og passasjerside foran, kne-",Airbag foran,0.138
4V0 Uten justering av passasjersetet foran fra baksetet,Oppvarmede seter,0.154
"4X4 Sidekollisjonspute foran og bak,",Airbag foran,0.169
"5D1 Bærefrekvens 433,92 til 434,42 MHz",ABS-Bremser,0.049
5J3 Takspoiler,,0.0
5K5 Transportbeskyttelsesfolie med ekstra,Sentrallås,0.089
5MV Dekorinnlegg,Klimaanlegg,0.248
Kunstskinn/stoff  - Black,Antispinn,0.047
3W6 Ekstra innvendig støydemping,Antispinn,0.148
Parktronic,Elektriske speil,0.096
3C7 Trepunkts rullebelte for sitteplass,Multifunksjonsratt,0.039
1X0 frontdrift,,0.0
1ZK Skivebremser foran,ABS-Bremser,0.336
20C Elektromotor (hybrid) systemeffekt 160KW,Elektriske speil,0.194
2EM Skivebremser bak,ABS-Bremser,0.348
2H4 Valg av kjøreprofil og hydr.,Kjørecomputer,0.137
2JW Standard støtfanger,Startsperre,0.049
"2ZW Multifunksjonsratt i skinn, oppvarmbart",Multifunksjonsratt,0.728
3B4 Barneseteforankring for,Airbag foran,0.195
3D6 Mmidtkonsoll,Multifunksjonsratt,0.047
"3U2 Bagasjeromstildekning, kan skyves",Airbag foran,0.072
3G2 Barneseteforankring på høyre side foran,Airbag foran,0.269
3LE Dør- og sidekledning,Servostyring,0.024
3N2 Oppbevaringskasse i bagasjerommet med deksel,Lettmet. felg sommer,0.139
"3NU Udelt baksete, delt seterygg som",Oppvarmede seter,0.17
"3PN Setejustering, elektrisk",Elektriske speil,0.42
3QT Trepunktseler foran med beltestrammer og,Airbag foran,0.132
3S9 Takreling,Antiskrens,0.145
3T2 3 Hodestøtter bak,Vinterhjul,0.037
Chassis - Sport,,0.0
"5RQ Sidespeil på høyre side, konvekst",Elektriske speil,0.168
5SJ Utv. speil venstre konveks,Elektriske speil,0.191
8N6 Vindusvisker-intervallfunksjon,Multifunksjonsratt,0.232
7ZU Bilklasse-differensiering -3V0-,Antiskrens,0.108
8AR Tilvalgsinfotainment (MIB 3),Sentrallås,0.036
"8FC Montering av startbatteriet bak, uten",Startsperre,0.14
"R78 LA 16"" 5 DOUBLE SPOKE DESIGN",,0.0
8G4 Matrix Beam,Elektriske speil,0.067
8IX LED-hovedlykter,Vinterhjul,0.029
8K3 Dagskjørelys med sensorstyrt kjørelys,Kjørecomputer,0.204
8M1 Bakrutevisker-/spyleranlegg,Klimaanlegg,0.241
"8Q5 Lyshøyderegulering, autom./dynamisk",Servostyring,0.042
7X5 Parkeringsassistent,Servostyring,0.063
8QG Nøkkel for låsesystem,Airbag foran,0.047
8S5 2 leselamper foran,Airbag foran,0.195
8T8 Automatisk avstandsregulering,Antiskrens,0.103
8TB Tåkebaklampe,,0.0
"8VM LED-baklykt, animert blink-",Sommerhjul,0.046
8WH Tåkelys og statiske adaptive lys,Elektriske speil,0.133
8Y1 Totonehorn,,0.0
"8ZQ Antenne bare for FM-mottak, diversity",Antispinn,0.057
7Y1 sporskifteassistent,Sentrallås,0.048
7W2 Med utvidet sikkerhetssystem,Vinterhjul,0.082
"5XH Solskjermer med speil, belyst",Elektriske speil,0.188
V01 SPEED- + LOADINDEX 95V,Radio FM,0.128
Aluminiums dekor,,0.0
5ZF Front headrests -- headrest intregral with seat back,Sentrallås,0.108
6E7 Midtarmlene foran,Airbag foran,0.185
6FF Sidespeilhus og diverse,Elektriske speil,0.186
6I6 Kjørefeltassistent pluss Emergency Assist,Kjørecomputer,0.105
6K4 Front Assist inkl. City-nødbremsfunksjon f. ACC high,Multifunksjonsratt,0.215
6KJ Radiatorgrill med kromlist,Radio FM,0.203
6M3 Bagasjeromsnett,Airbag foran,0.091
"6NW Formstøpt taktrekk, hel",Elektriske speil,0.057
7U0 Motorstart standard,Startsperre,0.224
6T5 Kupélys i fotrommet foran og bak,Lettmet. felg sommer,0.186
6XT Sidespeil med minnefunksjon,Multifunksjonsratt,0.28
70K Ladekabel Mode 2 type 2 / E+F (10A) og,,0.0
7B3 12-volts stikkontakt(er),Vinterhjul,0.026
7K1 Dekktrykkontroll,Elektriske speil,0.062
7L6 Start/stopp-system med rekuperasjon,Startsperre,0.24
"7P1 Korsryggstøtte, elektr. justerbar",Elektriske speil,0.201
7T7 Navigasjonssystem,Multifunksjonsratt,0.125
117 PSA VWGROUP driver assistance pack,Startsperre,0.044
