,From,To,Similarity
5881,"adaptiv radar cruise control, alle hastigheter (acc)",cruisekontroll,0.362
5882,"adaptive radar cruise control, alle hastigheter (acc)",cruisekontroll,0.358
5883,"- adaptive radar cruise control, alle hastigheter (acc)",cruisekontroll,0.358
5884,"adaptiv radar cruise control, alle hastigheter",cruisekontroll,0.371
5885,oppvarmbart ratt,oppvarmede seter,0.468
5886,oppvarmbar mlf-ratt,oppvarmede seter,0.377
5887,cruisecontrol med hastighetsbegrenser,cruisekontroll,0.344
5888,cruise control med hastighetsbegrenser,cruisekontroll,0.361
5889,cruise control system med hastighetsbegrenser,cruisekontroll,0.348
5890,cruisecontrol pluss med hastighetsbegrenser,cruisekontroll,0.327
5891,6af - legal emergency call,klimaanlegg,0.073
5892,6af     legal emergency call,klimaanlegg,0.073
5893,eljusterbare seter foran,airbag foran,0.296
5894,høydejusterbare seter foran,airbag foran,0.276
5895,443 heated steering wheel,parkeringsensor bak,0.104
5896,443 heated steering wheel m8,parkeringsensor bak,0.104
5897,968 coc paper euro6 tech. w/o registration cert.part 2,regulerbart ratt,0.13
5898,968 - coc paper euro6 tech. w/o registration cert.part 2,regulerbart ratt,0.13
5899,induksjonslading for mobiltelefon,multifunksjonsratt,0.142
5900,induksjonslading av mobiltelefon,multifunksjonsratt,0.143
5901,induksjonslading til mobiltelefon,multifunksjonsratt,0.141
5902,kollisjonsbegrensende bremsesystem (cmbs),navigasjonssystem,0.194
5903,kollisjonsreduserende bremsesystem (cmbs),abs-bremser,0.223
5904,kollisjonsbegrensendesytem (cmbs),regnsensor,0.135
5905,skillevegg uten vindu,el.vinduer,0.21
5906,hel skillevegg uten vindu,el.vinduer,0.197
5907,sportseter foran,airbag foran,0.271
5908,sport seter foran,airbag foran,0.331
5909,el.innkl. speil,elektriske speil,0.29
5910,el.innkl.speil,elektriske speil,0.225
5911,02vc tire repair kit,airbag foran,0.109
5912,tire repair kit,airbag foran,0.131
5913,248 oppvarmet ratt,oppvarmede seter,0.564
5914,248 - oppvarmet ratt,oppvarmede seter,0.564
5915,b&amp;o lydsystem,navigasjonssystem,0.171
5916,- b&amp;o lydsystem,navigasjonssystem,0.171
5917,2pa locking wheel bolt,skinnseter,0.087
5918,2pa locking wheel bolts,skinnseter,0.081
5919,slippery road alert and hazard light alert,lakkerte utvendige speil,0.077
5920,ro02 slippery road alert and hazard light alert,lakkerte utvendige speil,0.071
5921,webasto m/ fjernstyring,fjernstyrt sentrallås,0.473
5922,webasto med fjernstyring,fjernstyrt sentrallås,0.465
5923,"s5dc rear-seat headrests, folding",beltevarsler,0.065
5924,"s5dca rear-seat headrests, folding",beltevarsler,0.062
5925,"s05dc rear-seat headrests, folding",beltevarsler,0.062
5926,05dc rear-seat headrests folding,beltevarsler,0.065
5927,el setejustering m/memory,elektrisk sete m. memory,0.485
5928,el. setejustering m/memory,elektrisk sete m. memory,0.485
5929,428 warning triangle,aux-inngang,0.072
5930,s0428 warning triangle,aux-inngang,0.064
5931,y44 warning triangle,aux-inngang,0.069
5932,1t2 warning triangle,aux-inngang,0.07
5933,ergocomfort sportsseter,skinnseter,0.114
5934,comfort sport seter,skinnseter,0.189
5935,el. ergocomfort sportsseter,skinnseter,0.114
5936,4nbautom. climate control with 4-zone ctrl,cruisekontroll,0.132
5937,4nbautom climate control with 4zone ctrl,cruisekontroll,0.132
5938,"3 kjøremoduser (aktiv, stille og utemmet)",kjørecomputer,0.194
5939,"- 3 kjøremoduser (aktiv, stille og utemmet)",kjørecomputer,0.194
5940,elektrisk vindu,elektriske speil,0.61
5941,elektriske vindu,elektriske speil,0.703
5942,*elektrisk bakvindu,elektriske speil,0.447
5943,auto nær-/fjernlys,xenonlys,0.196
5944,auto nær/fjernlys,xenonlys,0.196
5945,auto nær / fjern lys,fjernstyrt sentrallås,0.322
5946,forberedt kaldt klima,klimaanlegg,0.221
5947,824 - forberedt kaldt klima,klimaanlegg,0.204
5948,auto dimming av hovedlys,xenonlys,0.061
5949,autom. dimming av hovedlys,xenonlys,0.059
5950,4ne - blow-by-heater,skinnseter,0.027
5951,4ne blow-by-heater,skinnseter,0.027
5952,4ne - blow-by heater,skinnseter,0.033
5953,delskinn interiør,skinninteriør,0.656
5954,delskinninteriør,skinninteriør,0.833
5955,delvis skinninteriør,skinninteriør,0.739
5956,6q2  girspakkule-/håndtak i skinn,skinnseter,0.163
5957,6q2 girspakkule-/håndtak i skinn,skinnseter,0.163
5958,girspakkule-/håndtak i skinn,skinnseter,0.171
5959,keyless go pakke,lakkerte utvendige speil,0.108
5960,- keyless go pakke,lakkerte utvendige speil,0.108
5961,mirrors package,sideairbager,0.073
5962,- mirrors package,sideairbager,0.073
5963,mirror package,sideairbager,0.076
5964,650a fabric/imitation leather/microfiber,isofix,0.087
5965,650 fabric/imitation leather/microfiber,isofix,0.089
5966,600a fabric/imitation leather/microfiber,isofix,0.087
5967,hz0 kjørevarmer elektrisk,elektriske speil,0.403
5968,kjørevarmer elektrisk,elektriske speil,0.458
5969,audi music interface med usb foran og bak,airbag foran,0.166
5970,audi music interface foran og bak,airbag foran,0.175
5971,"adaptiv bremselys, blinkende",abs-bremser,0.263
5972,"adaptivt bremselys, blinkende",abs-bremser,0.252
5973,"adaptive bremselys, blinkende",abs-bremser,0.259
5974,diamond grille,cd-spiller,0.182
5975,diamond grill,air condition,0.151
5976,"mirror screen, dab+, 7"" berøringsskjerm og 4xusb",radio dab+,0.117
5977,"mirror screen, dab+, 7"" berøringsskjerm og 2xusb",radio dab+,0.117
5978,performance firehjulsdrift,vinterhjul,0.157
5979,permanent firehjulsdrift,vinterhjul,0.162
5980,673 high-capacity battery,skinnratt,0.054
5981,673. high-capacity battery,skinnratt,0.054
5982,3 nakkestøtter bak,lakkerte utvendige speil,0.101
5983,nakkestøtter bak,lakkerte utvendige speil,0.101
5984,komfort telefon med induksjonslading,multifunksjonsratt,0.148
5985,komfort telefon med induksjonslading.,multifunksjonsratt,0.148
5986,"22""amg 5-dobbelteiket felg",beltevarsler,0.186
5987,"19"" amg 5-dobbelteiket felg",beltevarsler,0.216
5988,776 brede hjulkasser,vinterhjul,0.205
5989,brede hjulkasser,vinterhjul,0.227
5990,642 frontlykt led dynamisk høyrekjøring,kjørecomputer,0.063
5991,frontlykt led dynamisk høyrekjøring,kjørecomputer,0.067
5992,verktøy + jekk,vinterdekk,0.123
5993,verktøy og jekk,vinterdekk,0.123
5994,through-loading system,navigasjonssystem,0.131
5995,through-load system,navigasjonssystem,0.138
5996,352b language of instrument cluster/hu - norwegian,vinterhjul,0.088
5997,"352b language, instrument cluster/hu - norwegian",vinterhjul,0.088
5998,352b language of instrument cluster/hu - norweg,vinterhjul,0.093
5999,a050 50 ah agm battery,skinnratt,0.076
6000,sa050 50 ah agm battery,skinnratt,0.069
6001,a05050 ah agm battery,skinnratt,0.055
6002,overvåking av dekktrykk,vinterdekk,0.186
6003,overvåkning av dekktrykk,vinterdekk,0.176
6004,el seteregulering med minne,regulerbart ratt,0.522
6005,el.seteregulering med minne,regulerbart ratt,0.483
6006,08tf aktivt fotgängarskydd,aux-inngang,0.09
6007,08tk passivt fotgängarskydd,aux-inngang,0.088
6008,smart key låsesystem,navigasjonssystem,0.178
6009,smart key system,navigasjonssystem,0.227
6010,993 årsmodell i vin,vinterdekk,0.088
6011,s993 årsmodellkode i vin,vinterdekk,0.06
6012,01cx sport-boost,servostyring,0.109
6013,s01cx sport-boost,servostyring,0.104
6014,01cx sport boost,servostyring,0.13
6015,1cx sport-boost,servostyring,0.118
6016,8tf aktiv fotgjengerbeskyttelse,regulerbart ratt,0.055
6017,8tf aktive fotgjengerbeskyttelse,regulerbart ratt,0.054
6018,8tf aktiv fotgjenger beskyttelse,sideairbager,0.041
6019,s8tf aktiv fotgjengerbeskyttelse,regulerbart ratt,0.052
6020,aktiv fotgjengerbeskyttelse,regulerbart ratt,0.057
6021,aktiv fotgjengerbeskyttelse (s8tfa),regulerbart ratt,0.051
6022,side assist blindsonevarsler,beltevarsler,0.427
6023,side assist/blindsonevarsler,beltevarsler,0.373
6024,fw limousine,klimaanlegg,0.09
6025,- limousine,klimaanlegg,0.09
6026,09t karbonforsterket innvendig plastdel bagasjeromslokk,lakkerte utvendige speil,0.129
6027,09t karbonforsterket innvendig plastdel bagasjerom,lakkerte utvendige speil,0.146
6028,04k7 interior trim alu.rhomb.w.accent strip,skinninteriør,0.107
6029,s4k7 interior trim alu.rhomb.w.accent strip,skinninteriør,0.106
6030,interior trim alu.rhomb.w.accent strip,skinninteriør,0.117
6031,04kn interior trim alu.rhomb.w.accent strip,skinninteriør,0.107
6032,230v uttak,takrails,0.106
6033,- 230v uttak,takrails,0.106
6034,- esc (elektronisk stabilitetskontroll),cruisekontroll,0.26
6035,esc - elektronisk stabilitetskontroll,cruisekontroll,0.26
6036,winter package,vinterdekk,0.213
6037,winter package row,vinterdekk,0.186
6038,winter pack,vinterdekk,0.268
6039,skjult enderør,startsperre,0.153
6040,• skjult enderør,startsperre,0.153
6041,føreroppmerksomhetsovervåkning,sommerdekk,0.1
6042,føreroppmerksomhetsovervåking,sommerdekk,0.103
6043,nøkkelfritt system med startknapp,diesel-partikkelfilter,0.158
6044,nøkkelfritt låsesystem m/startknapp,diesel-partikkelfilter,0.143
6045,mbux innovasjonspakke,navigasjonssystem,0.17
6046,innovasjonspakke,navigasjonssystem,0.189
6047,r-line eksteriør,skinninteriør,0.245
6048,"r-line eksteriør 18""",skinninteriør,0.245
6049,elektrisk justerbar seter memory,elektrisk sete m. memory,0.812
6050,elektrisk justerbare seter m/memory,elektrisk sete m. memory,0.769
6051,elektrisk justerbare seter m/minne,elektrisk sete m. memory,0.442
6052,blis (blindspot info. system),cd-spiller,0.148
6053,blis(blindspotinfo.system),cd-spiller,0.108
6054,blis (blindspotinfo.syst),cd-spiller,0.122
6055,blis (blind spot info system),navigasjonssystem,0.159
6056,parkeringsvarmer / dieselvarmer / webasto,parkeringsensor bak,0.268
6057,parkeringsvarmer / dieselvarmer,parkeringsensor bak,0.299
6058,677 avantgarde/standard suspension,antiskrens,0.09
6059,677 - avantgarde/standard suspension,antiskrens,0.09
6060,m278 v8-gasoline engine m278,navigasjonssystem,0.039
6061,m276 v6-gasoline engine m276,navigasjonssystem,0.04
6062,locking wheel bolt,skinnseter,0.095
6063,locking wheel bolts,skinnseter,0.088
6064,elektroniske støtdempere,elektriske speil,0.345
6065,elektroniske dempere,elektriske speil,0.411
6066,5 dører,,0.0
6067,4 dører,,0.0
6068,dekktrykk varsling,beltevarsler,0.233
6069,dekktrykkvarsling,beltevarsler,0.199
6070,477 dekktrykk varsling,beltevarsler,0.209
6071,"eksklusive tekstilmatter, charcoal",skinnratt,0.045
6072,eksklusive tekstilmatter i charcoal,skinnratt,0.045
6073,nattsynsassistent,skinnratt,0.062
6074,med nattsynsassistent,skinnratt,0.061
6075,nattsynassistent,skinnratt,0.067
6076,appstyrt varmer,fjernstyrt sentrallås,0.289
6077,appstyrt kupevarmer,fjernstyrt sentrallås,0.23
6078,appstyrt forvarmer,fjernstyrt sentrallås,0.249
6079,appstyrt forvarming,fjernstyrt sentrallås,0.237
6080,automatisk nødbremsing,abs-bremser,0.206
6081,automatisk bremsing,abs-bremser,0.229
6082,automatisk nødbrems,abs-bremser,0.241
6083,førerinfosystem m/farger,navigasjonssystem,0.133
6084,førerinfosystem med farger,navigasjonssystem,0.141
6085,8-veis passasjersete,skinnseter,0.115
6086,8-veis el. passasjer-sete,skinnseter,0.115
6087,el. 8-veis justering av førersete,skinnseter,0.154
6088,el 8-veis justering av førersete m/ minne,skinnseter,0.206
6089,- multifunction f steering wheel,multifunksjonsratt,0.379
6090,- multifunction steering wheel,multifunksjonsratt,0.379
6091,multifunctional steering wheel,multifunksjonsratt,0.358
6092,skvettlapper bak,lettmet. felg vinter,0.079
6093,skvettlapper,lettmet. felg vinter,0.081
6094,aux-uttak,aux-inngang,0.142
6095,aux - uttak,aux-inngang,0.209
6096,aux uttak,aux-inngang,0.209
6097,"ekstra mørke ruter bak, fra b-søylen",parkeringsensor bak,0.104
6098,"mørke ruter bak, fra b-søylen",parkeringsensor bak,0.116
6099,multikontursete foran med massasjefunksjon,multifunksjonsratt,0.357
6100,multikonturseter foran med massasjefunksjon,multifunksjonsratt,0.355
6101,multikonturseter med massasjefunksjon,multifunksjonsratt,0.365
6102,pqh1 voice control,cruisekontroll,0.166
6103,qh1 voice control,cruisekontroll,0.189
6104,voice control,cruisekontroll,0.221
6105,"frontrute, farget og laminert",cruisekontroll,0.078
6106,frontrute farget og laminert,cruisekontroll,0.078
6107,8-v. el just passasjersete,skinnseter,0.133
6108,8-veis el. just. passasjersete,skinnseter,0.109
6109,med 10-veis el. just. passasjersete,oppvarmede seter,0.129
6110,gule bremsekalippere,abs-bremser,0.263
6111,- gule bremsekalippere,abs-bremser,0.263
6112,- gule bremsecalipere,abs-bremser,0.274
6113,blå bremsekalippere,abs-bremser,0.282
6114,gule bremsekalipere,abs-bremser,0.278
6115,gule bremsekallipere,abs-bremser,0.277
6116,4 nøkler/3 m/fjernk.,fjernstyrt sentrallås,0.188
6117,4 nøkler m/fjernk.,fjernstyrt sentrallås,0.222
6118,- mørke vinduer,el.vinduer,0.627
6119,mørke vinduer,el.vinduer,0.627
6120,mørke vindu,el.vinduer,0.367
6121,steering wheel heating,parkeringsensor bak,0.143
6122,248 steering wheel heating,parkeringsensor bak,0.129
6123,4 corner luftfjæring med elektrisk regulert demping,regulerbart ratt,0.302
6124,4 corner luftfjæring elektrisk regulert demping,regulerbart ratt,0.305
6125,editions and packages,air condition,0.385
6126,editions and packages --,air condition,0.385
6127,"21""5-d o-spokemattblackdc",skinnratt,0.046
6128,"20""5-d spoke mattblack dc",skinnratt,0.064
6129,"18""5-d spokemattblackdc k",skinnratt,0.049
6130,headupdisplay,antispinn,0.105
6131,*head-up display,antispinn,0.128
6132,head-up display 463,antispinn,0.115
6133,0754 m rear spoiler,regulerbart ratt,0.057
6134,754 m rear spoiler,regulerbart ratt,0.066
6135,0754m rear spoiler,regulerbart ratt,0.051
6136,754m rear spoiler,regulerbart ratt,0.057
6137,sportsseter i skinn / alcantara,skinnseter,0.349
6138,sportsseter i skinn/alcantara,skinnseter,0.321
6139,s-line sportsseter i skinn/alcantara.,skinnseter,0.301
6140,sportsseter i alcantara,startsperre,0.149
6141,"panoramatak, fast",takrails,0.084
6142,panoramatak fast,takrails,0.084
6143,dekor pianolakkfinish,metallic lakk,0.155
6144,- dekor pianolakkfinish,metallic lakk,0.155
6145,alarmpakke plus,alarm,0.563
6146,alarm pakke plus,alarm,0.702
6147,873 setevarme førersete venstre og høyre side,oppvarmede seter,0.291
6148,873 setevarme for førersete venstre og høyre,oppvarmede seter,0.298
6149,872 setevarme baksete venstre og høyre side,oppvarmede seter,0.29
6150,x-mode,,0.0
6151,x-mode:,,0.0
6152,- antrasitt taktrekk,sentrallås,0.141
6153,775 antrasitt taktrekk,sentrallås,0.131
6154,4aa - antrasitt taktrekk,sentrallås,0.129
6155,ryggekamera panorama 360`,ryggekamera,0.733
6156,"ryggekamera, panorama 360",ryggekamera,0.733
6157,ryggekamera panorama 360 grader,ryggekamera,0.663
6158,760 høyglans shadowline,,0.0
6159,7m9 høyglans shadowline,,0.0
6160,høyglans shadow line,,0.0
6161,550 tilhengerkobling,sideairbager,0.046
6162,tilhengerkobling,sideairbager,0.049
6163,automatisk blending innvendig speil,lakkerte utvendige speil,0.409
6164,automatisk avblending innvendig speil,lakkerte utvendige speil,0.385
6165,automatisk avblending av innvendig speil,lakkerte utvendige speil,0.385
6166,762 radiostyrt fjernbetjening uten panikkbryter (,radio fm,0.256
6167,762 radiostyrt fjernbetjening uten panikkbryter,radio fm,0.256
6168,mørke glass i bakrute og sidevinduer,el.vinduer,0.379
6169,mørke glass i bak- og sidevinduer,el.vinduer,0.438
6170,b03 eco start-stopp-funktion,startsperre,0.209
6171,eco start-stopp-funktion,startsperre,0.222
6172,bmw live cockpit professional,air condition,0.037
6173,- bmw live cockpit professional,air condition,0.037
6174,l venstrestyring,servostyring,0.381
6175,il5 venstrestyring,servostyring,0.324
6176,bang og olufsen,sentrallås,0.094
6177,bang olufsen,sentrallås,0.094
6178,"19 "" aluminiumsfelger piggfritt",lettmet. felg vinter,0.109
6179,"16"" aluminiumsfelger piggfritt",lettmet. felg vinter,0.109
6180,"17 "" aluminiumsfelger pigg",lettmet. felg vinter,0.13
6181,0420 solbeskyttende glass,lakkerte utvendige speil,0.045
6182,420 solbeskyttende glass,lakkerte utvendige speil,0.048
6183,420 farget solbeskyttende glass,lakkerte utvendige speil,0.042
6184,s420 solbeskyttende glass,lakkerte utvendige speil,0.045
6185,03ac tilhengerfeste,sideairbager,0.05
6186,3ac tilhengerfeste,sideairbager,0.054
6187,s2tb sport automatic gearbox,,0.0
6188,- s2tb sport automatic gearbox,,0.0
6189,twin engine,,0.0
6190,t8 twin engine,,0.0
6191,røde kontrastsømmer,sommerdekk,0.242
6192,grå kontrastsømmer,cruisekontroll,0.164
6193,røde kontrast sømmer,sommerdekk,0.287
6194,0407 panorama glass roof,airbag foran,0.07
6195,0407 panorama roof,airbag foran,0.076
6196,0407panorama glass roof,airbag foran,0.059
6197,høyt bremselys,abs-bremser,0.404
6198,med høyt bremselys,abs-bremser,0.392
6199,360 grader kamera rundt bilen,ryggekamera,0.281
6200,360 grader camera rundt bilen,ryggekamera,0.188
6201,0524 adaptive headlights,,0.0
6202,524 adaptive headlights,,0.0
6203,0524adaptive headlights,,0.0
6204,s0524 adaptive headlights,,0.0
6205,"19 med 5 doble eiker black diamond cut, bak",air condition,0.114
6206,"20 med 5 doble eiker black diamond cut, bak",air condition,0.114
6207,adaptiv cruise control m/fotgj. varsling,cruisekontroll,0.412
6208,adaptiv cruisecontroll m/fotgj.varsling,cruisekontroll,0.373
6209,5aqactive guard plus,,0.0
6210,active guard plus,,0.0
6211,with heated windscreen,handsfree opplegg,0.153
6212,heated windscreen,handsfree opplegg,0.161
6213,heated screen,handsfree opplegg,0.115
6214,fingeravtrykkskanner,ryggekamera,0.048
6215,fingeravtrykk skanner,ryggekamera,0.052
6216,høyderegulering av passasjersete,regulerbart ratt,0.409
6217,høyderegulering passasjerstol,regulerbart ratt,0.394
6218,høydejustering passasjerstol,parkeringsensor bak,0.088
6219,høydejustering passasjersete foran,parkeringsensor foran,0.2
6220,lights &amp; vision package,sideairbager,0.063
6221,"""lights &amp; vision"" package",sideairbager,0.063
6222,utmanøvreringsassistent,parkeringsensor bak,0.123
6223,utmanøvrerings assist,parkeringsensor bak,0.135
6224,423 floor mats velours,,0.0
6225,"423 floor mats, velour",,0.0
6226,423floor mats velours,,0.0
6227,508 park distance control (pdc),cruisekontroll,0.183
6228,508 - park distance control (pdc),cruisekontroll,0.183
6229,01de exhaust emission standards eu6 rde,vinterdekk,0.076
6230,s01de exhaust emission standards eu6 rde,vinterdekk,0.074
6231,active parking assist,parkeringsensor bak,0.169
6232,- active parking assist,parkeringsensor bak,0.169
6233,lettmetalfelger på sommerhjul,lettmet. felg sommer,0.688
6234,lettmetalfelger på vinterhjul,lettmet. felg vinter,0.659
6235,04u7 rapid charging,parkeringsensor bak,0.02
6236,04u8 rapid charging,parkeringsensor bak,0.02
6237,"927 exhaust treatment, euro 6 technology",lettmet. felg vinter,0.059
6238,"exhaust treatment, euro 6 technology",lettmet. felg vinter,0.062
6239,active brake assist,,0.0
6240,activ brake assist,,0.0
6241,ba3 active brake assist,,0.0
6242,med nødbremsehjelp,abs-bremser,0.279
6243,nødbremsehjelp,abs-bremser,0.283
6244,heat pump,,0.0
6245,- heat pump,,0.0
6246,girskifthendler på rattet,skinnratt,0.176
6247,girskifthendler på ratt,skinnratt,0.185
6248,428 girskifthendler på ratt,skinnratt,0.175
6249,875 heated windscreen washer system,handsfree opplegg,0.124
6250,875. heated windscreen washer system,handsfree opplegg,0.124
6251,heated windscreen washer system,handsfree opplegg,0.13
6252,heated windshield washer system,navigasjonssystem,0.123
6253,heated windshield washer spouts,handsfree opplegg,0.051
6254,interiørpakke 4 sort sportsseter,skinninteriør,0.288
6255,interiørpakke 5 sort sportsseter,skinninteriør,0.288
6256,bakspoiler,regulerbart ratt,0.068
6257,bak spoiler,regulerbart ratt,0.084
6258,05ag lane change warning,handsfree opplegg,0.079
6259,5ag lane change warning,handsfree opplegg,0.085
6260,5aglane change warning,handsfree opplegg,0.076
6261,ford sync 3,airbag foran,0.065
6262,ford sync 4,airbag foran,0.065
6263,audi active laneassist,,0.0
6264,audi active lane assist,,0.0
6265,6p5 sales control code for code 475 request,cruisekontroll,0.121
6266,6p5 sales control code for code 475 reque,cruisekontroll,0.129
6267,6p5 sales control code for code 475,cruisekontroll,0.146
6268,isofix (2stk) i ytterposisjon i baksetet,isofix,0.435
6269,0072 isofix (2stk) i ytterposisjon i baksetet,isofix,0.396
6270,551 basic antitheft alarm system (ata),alarm,0.381
6271,basic antitheft alarm system (ata),alarm,0.406
6272,12 v uttak bak,takrails,0.152
6273,12 volt uttak bak,takrails,0.116
6274,230v uttak bak,takrails,0.102
6275,"tilhengerfeste, utsvingbart",regulerbart ratt,0.081
6276,hengerfeste utsvingbart,regulerbart ratt,0.089
6277,6cp apple carplay preparation,handsfree opplegg,0.161
6278,apple carplay preparation,handsfree opplegg,0.173
6279,609 - navigasjon professional,navigasjonssystem,0.456
6280,609 navigasjon professional,navigasjonssystem,0.456
6281,609 navigasjon proffesional,navigasjonssystem,0.445
6282,navigasjon professional,navigasjonssystem,0.488
6283,navigation professional,navigasjonssystem,0.28
6284,p65 ergonomics package,sideairbager,0.048
6285,p65 - ergonomics package,sideairbager,0.048
6286,p65 ergonomisk pakke,lakkerte utvendige speil,0.072
6287,270 gps antenna,antispinn,0.084
6288,270 gps antenne,antispinn,0.089
6289,270 gps-antenne,antispinn,0.073
6290,ambient interior lighting,skinninteriør,0.175
6291,ambient interior light,skinninteriør,0.198
6292,ambient interior lightning,skinninteriør,0.225
6293,"968 euro 6 technology coc document - without motor vehicle registration certificate, part 2",regulerbart ratt,0.091
6294,euro 6 technology coc document - without motor vehicle registration certificate,regulerbart ratt,0.071
6295,tretthetsvarsler,beltevarsler,0.351
6296,trøtthetsvarsler,beltevarsler,0.333
6297,tretthetsvarsel,beltevarsler,0.121
6298,522 audio 20 radio navigation capable ntg5,radio fm,0.428
6299,522 - audio 20 radio navigation capable ntg5,radio fm,0.428
6300,13b operators manual and service booklet - norwegian,servostyring,0.078
6301,13b instruction manual and service booklet - norwegian,servostyring,0.075
6302,13b - operators manual and service booklet - norwegian,servostyring,0.078
6303,- operators manual and service booklet - norwegian,servostyring,0.08
6304,assistentpakke pro med ryggekamera,ryggekamera,0.698
6305,- assistentpakke pro med ryggekamera,ryggekamera,0.698
6306,assistentpakke pro ryggekamera,ryggekamera,0.708
6307,akustikkglass foran,airbag foran,0.167
6308,- akustikkglass foran,airbag foran,0.167
6309,882 sensor system and antitheft alarm system,alarm,0.357
6310,882 sensor system and siren for anti-theft alarm system,alarm,0.327
6311,s7vb comfort package,kjørecomputer,0.069
6312,7vb comfort package,kjørecomputer,0.078
6313,0y3  kalde soner,,0.0
6314,0y3 kalde soner,,0.0
6315,u40 cargo net behind front seats,el.vinduer,0.049
6316,cargo net behind front seats,el.vinduer,0.055
6317,midtarmlene bak med koppholdere,midtarmlene,0.695
6318,midtarmlene bak m/ koppholder,midtarmlene,0.717
6319,armlene bak med koppholdere,midtarmlene,0.405
6320,midtarmlene i baksetet med koppholdere,midtarmlene,0.638
6321,midtarmlene foran m/2 koppholdere,midtarmlene,0.685
6322,04nr interior camera,ryggekamera,0.206
6323,4nr interior camera,ryggekamera,0.228
6324,parksensor foran m/assist,parkeringsensor foran,0.511
6325,park sensor foran m/assist,parkeringsensor foran,0.579
6326,filvarsling,beltevarsler,0.271
6327,fil varsling,beltevarsler,0.343
6328,filvarlsing,pollenfilter,0.098
6329,b03 direktestart/eco start-stopp-funksjon,startsperre,0.273
6330,b03 direktestart / eco start-stopp-funksjon,startsperre,0.282
6331,hengerfeste kan ettermonteres,lettmet. felg vinter,0.16
6332,tilhengerfeste kan ettermonteres,lettmet. felg vinter,0.147
6333,integrert takstativ,vinterdekk,0.119
6334,- integrert takstativ,vinterdekk,0.119
6335,6c3 - digital professional,metallic lakk,0.065
6336,6c3     digital professional,metallic lakk,0.065
6337,0td f floor mats front and rear,handsfree opplegg,0.052
6338,- 0td f floor mats front and rear,handsfree opplegg,0.052
6339,0td l zfm floor mats in front and rear,handsfree opplegg,0.046
6340,led daytime kjørelys,kjørecomputer,0.181
6341,led dagtid kjørelys,kjørecomputer,0.17
6342,daytime kjørelys,kjørecomputer,0.186
6343,p49 spiegel-paket,diesel-partikkelfilter,0.168
6344,spiegel-paket,diesel-partikkelfilter,0.182
6345,502 lyktespylere,regulerbart ratt,0.054
6346,502 - lyktespylere,regulerbart ratt,0.054
6347,600 lyktespylere,regulerbart ratt,0.054
6348,502 lyktespyler,regulerbart ratt,0.056
6349,blanksorte rails og lister rundt sideruter,takrails,0.27
6350,blanksorte lister rundt sideruter,airbag foran side,0.117
6351,aluminiumspedaler,elektriske speil,0.052
6352,aluminiumspaneler,regulerbart ratt,0.051
6353,ford easy-fuel,airbag foran,0.044
6354,ford easy fuel,airbag foran,0.059
6355,2 led-lys i varerom,xenonlys,0.079
6356,led-lys i varerom,xenonlys,0.079
6357,710 - m leather steering wheel,parkeringsensor bak,0.1
6358,710     m leather steering wheel,parkeringsensor bak,0.1
6359,08wq control g,cruisekontroll,0.233
6360,8wq control g,cruisekontroll,0.281
6361,08wqcontrol g,cruisekontroll,0.172
6362,8wqcontrol g,cruisekontroll,0.189
6363,21   5-arms turbindesign kontr.grå,cruisekontroll,0.115
6364,"21"" 5-arms turbindesign kontr.grå",cruisekontroll,0.115
6365,"innvendig dørtrekk i filt, bakdør",lakkerte utvendige speil,0.198
6366,innvendig dørtrekk i filt,lakkerte utvendige speil,0.219
6367,03dz omission of additional lettering outer,air condition,0.276
6368,"03dz omission of additional lettering, outer",air condition,0.276
6369,01ca selection of cop-relevant vehicles,air condition,0.069
6370,s01ca selection of cop-relevant vehicles,air condition,0.066
6371,1ca selection of cop-relevant vehicles,air condition,0.071
6372,1caselection of cop-relevant vehicles,air condition,0.067
6373,vinterhjul med pigg,vinterhjul,0.792
6374,"17"" vinterhjul med pigg",vinterhjul,0.792
6375,"15"" vinterhjul m/ pigg",vinterhjul,0.81
6376,dvd-veksler,beltevarsler,0.156
6377,dvd veksler,beltevarsler,0.204
6378,cd/dvd-veksler,beltevarsler,0.134
6379,876 kupélyspakke,lakkerte utvendige speil,0.083
6380,kupélyspakke,lakkerte utvendige speil,0.092
6381,auto start-stopp,startsperre,0.343
6382,auto start-stop,startsperre,0.361
6383,258 collis.warn. sys. w/ active brake interv. fcw stop,vinterdekk,0.102
6384,258 - collis.warn. sys. w/ active brake interv. fcw stop,vinterdekk,0.102
6385,487 active body control abc,cruisekontroll,0.176
6386,487 active body control (abc),cruisekontroll,0.176
6387,8aw instruksjonsbok på norsk,multifunksjonsratt,0.155
6388,instruksjonsbok på norsk,multifunksjonsratt,0.163
6389,el seter foran m/minne,skinnseter,0.305
6390,el.seter foran m/minne,skinnseter,0.266
6391,0216 hydro steering-servotronic,servostyring,0.237
6392,216 - hydro steering-servotronic,servostyring,0.247
6393,s0216 hydro steering-servotronic,servostyring,0.228
6394,hydro steering-servotronic,servostyring,0.262
6395,audi pre sense front,regnsensor,0.285
6396,audi presense front,regnsensor,0.253
6397,p17 keyless go-pakker,lakkerte utvendige speil,0.125
6398,p17 keyless go-pakke,lakkerte utvendige speil,0.08
6399,utvendige speil med automatisk avblending,lakkerte utvendige speil,0.569
